RCtype,RCwordorder
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,scrambled
SRC,canonical
ORC,scrambled
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
ORC,scrambled
ORC,scrambled
ORC,scrambled
SRC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,canonical
SRC,canonical
ORC,canonical
ORC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
SRC,canonical
ORC,canonical
ORC,scrambled
SRC,canonical
SRC,canonical
ORC,scrambled
SRC,canonical
ORC,scrambled
ORC,canonical
SRC,canonical
